Anima Sound System;68;Electronica
Heaven Street Seven;Hajolj bele a hajamba;Alternatív rock
Wellhello;Rakpart;Pop, Hiphop
Rúzsa Magdi;Most élsz;Pop, Blues
Quimby;Autó egy sávban;Alternatív rock
Fish!;Varázsló;Ska, Punk
30Y;Szentimentális;Alternatív rock
LGT;Amikor én még kissrác voltam;Rock, Blues
Edda Művek;A szél visszahoz;Rock
Depresszió;Csak a zene;Alternatív rock, Metal
Kowalsky meg a Vega;Ennyi csak;Pop-rock
Halott Pénz;Valami máz;Pop, Hiphop
Punnany Massif;Élvezd;Pop, Hiphop
Tankcsapda;Jönnek a férgek;Rock
Wellhello;Odaút;Pop, Hiphop
Anna and the Barbies;És ha én...;Rock, Pop
Belga;Add a kezed;Rap, Humor
Bagossy Brothers Company;Olyan Ő;Pop, Folk
Colorstar;Szerelmi fájdalom;Elektronikus, Alternatív
Jazz+Az;Neked írom a dalt;Jazz, Rap
Óriás;Részeg vagyok;Alternatív rock
Beatrice;Kész Átverés;Rock
Intim Torna Illegál;Westend;Alternatív rock
Hooligans;Legyen Valami;Rock, Punk
Heincz Gábor 'Biga';Goodbye;Pop, Soul
Irie Maffia;Easy as One Two Three;Reggae, Hiphop
The Qualitons;Margit;Funk, Rock
Bródy János;Szerelmes Vagyok;Rock, Blues
Magashegyi Underground;Játssz;Folk-rock
Follow the Flow;Anyám Mondta;Pop, Hiphop
